cliente_id,nombre,telefono,direccion,email
C001,Kasper Sandoval,(653)968-2110,8631 Eu Ave,Donec.consectetuer@et.ca
C002,Jonah Murray,(958)499-6594,1896 Magna. St.,Etiam.vestibulum@ornaretortor.ca
C003,Drew Grimes,(197)506-0693,Ap #642-8486 Ante Road,lobortis.mauris@laoreetposuere.com
C004,Damon Noel,(802)586-0477,306-1477 Ac Rd.,turpis.Aliquam@ullamcorpereueuismod.edu
C005,Logan Orr,(420)338-5694,315-8981 Enim Ave,at@leo.com
C006,Hop Stuart,(270)219-7438,7895 Nullam St.,aliquet.molestie.tellus@erat.org
C007,Tanner Griffith,(196)770-5322,964-5927 Vel Rd.,eu.eros@mieleifendegestas.com
C008,Colby Roth,(483)301-1847,8877 Eros. Rd.,ante.Vivamus.non@lectusante.ca
C009,Chadwick Erickson,(222)978-0493,P.O. Box 658 6024 At Av.,Donec.consectetuer.mauris@rutrum.ca
C010,Connor Clay,(727)347-2179,879-3842 Interdum. Rd.,nisi.sem@dapibusgravida.org
